"","ntrips_id","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","circular_net","purse_seine","surface_gillnet_seine","demersal_gillnet","spear_fishing","hook_line","hook_line_shore"
"164","uuid:fc59e54e-08a1-46d2-9358-a5298a21ef8f","PC","AB","abade","judiciley","2021-04-20","sim",NA,NA,0,0,0,0,0,0,1,0
"165","uuid:ed079110-df7e-4491-a245-18cce9b608fc","PC","AB","abade","judiciley","2021-04-23","sim",NA,NA,0,0,0,0,0,0,4,0
"166","uuid:93f0209a-a326-49f0-863f-0fb02a3be2ad","PC","AB","abade","judiciley","2021-04-27","sim",NA,NA,0,0,0,0,1,0,2,0
"167","uuid:703b7fbc-adea-4f27-b612-1a3494c53e79","PC","AB","abade","judiciley","2021-04-30","sim",NA,NA,0,0,0,0,0,0,8,3
"168","uuid:4e707853-3a82-4f26-8431-8d28e5bdab01","PC","AB","abade","judiciley","2021-05-04","sim",NA,NA,0,0,0,0,0,0,11,1
"169","uuid:574078ea-b42e-4477-8d66-d558d806852b","PC","AB","abade","judiciley","2021-05-07","sim",NA,NA,0,0,0,0,0,0,14,2
"170","uuid:494b3aaf-5a2c-40ec-9a20-b02c5b191eac","PC","AB","abade","judiciley","2021-05-11","sim",NA,NA,0,0,1,0,0,3,14,0
"171","uuid:69a9a556-47e6-4511-b67f-d208ad2b6296","PC","AB","abade","judiciley","2021-05-14","sim",NA,NA,0,0,0,0,0,5,7,1
"172","uuid:f845fe15-338e-41ef-8659-a143b63eb140","PC","AB","abade","judiciley","2021-05-18","sim",NA,NA,0,0,0,0,0,3,5,1
"173","uuid:7e4d4abb-aac9-4f92-bb31-a300145086c7","PC","AB","abade","judiciley","2021-05-21","sim",NA,NA,0,0,0,0,0,0,6,1
"174","uuid:4cc8816b-58d2-4f3b-b860-50b408d0bb50","PC","AB","abade","judiciley","2021-05-25","sim",NA,NA,0,0,0,0,0,0,2,0
"175","uuid:ac9c2ddf-d5e5-4f5f-b54c-561dec57f062","PC","AB","abade","judiciley","2021-05-28","sim",NA,NA,0,0,1,0,0,3,2,1
"176","uuid:0ea23a82-e992-4a9c-acb3-5713add17480","PC","AB","abade","judiciley","2021-06-01","sim",NA,NA,0,0,0,0,0,0,2,1
"177","uuid:69193f5e-fe46-4e92-af2c-52038f87996f","PC","AB","abade","judiciley","2021-06-04","sim",NA,NA,0,0,0,0,0,3,0,0
