CODE.ST,CODE.PC,type,species,species_comp,species_comp_source,local_name_ST,local_name_PC
AGULHA-QUIO,AGULHA-QUIO,Teleost,Tylosurus sp.,"Tylosurus rafale, Tylosurus crocodilus","FGDs, KIIs, Field observations",Agulha quio,Agulha quio
BARBUDO-FUNDO,BARBUDO-FUNDO,Teleost,Umbrina cirrosa,Umbrina cirrosa,"FGDs, KIIs, Field observations",Barbudo fundo,Barbudo fundo
OSSO-MOLE,OSSO-MOLE,Teleost,Uraspis secunda,Uraspis secunda,"FGDs, KIIs, Field observations",Osso mole,Osso mole
LAINHA,LAINHA,Teleost,Xyrichtys novacula,Xyrichtys novacula,"FGDs, KIIs, Field observations",Lainha,Lainha
Mobula cf. birostris,Mobula cf. birostris,Myliobatiformes,Mobula cf. birostris,"Mobula birostris, Mobula birostris",Picture ID,Uzua manta,Marfim
CONCOM-DE-FUNDO,CONCOM-DE-FUNDO,Teleost,Chelidonichthys gabonensis,Chelidonichthys gabonensis,Picture ID,NA,NA
LINGUADO-LARGO,LINGUADO-LARGO,Teleost,Bothus podas,Bothus podas,Picture ID,NA,NA
TAINHA,TAINHA,Teleost,Mugil cephalus,Mugil cephalus,Picture ID,Tainha,Tainha
IMPINHO,IMPINHO,Teleost,Acanthostracion notacanthus,Acanthostracion notacanthus,Picture ID,Impinho,Impinho
ASNO-PEGO,ASNO-PEGO,Teleost,Canthidermis maculata,Canthidermis maculata,Picture ID,Asno pego,Asno pego
PEIXE-PEDRA,PEIXE-PEDRA,Teleost,Antennarius multiocellatus,Antennarius multiocellatus,Picture ID,NA,NA
TCHINTCHIN2,TCHINTCHIN2,Teleost,Holacanthus africanus,Holacanthus africanus,Picture ID,Tchintchin,Tchintchin
BARBUDO-FUNDO2,BARBUDO-FUNDO2,Teleost,Polymixia nobilis,Polymixia nobilis,Picture ID,Barbudo de fundo,Barbudo de fundo
ESCOLAR,ESCOLAR,Teleost,Lepidocybium flavobrunneum,Lepidocybium flavobrunneum,Picture ID,NA,NA
COELHO-BRANCO,COELHO-BRANCO,Teleost,Sphoeroides pachygaster,Sphoeroides pachygaster,Picture ID,Coelho branco,Coelho branco
ESPADA,ESPADA,Teleost,Promethichthys prometheus,Promethichthys prometheus,Picture ID,NA,NA
PEIXE-GALO,PEIXE-GALO,Teleost,Zeus faber,Zeus faber,Picture ID,Peixe galo,Peixe galo
PEIXE-PILOTO,PEIXE-PILOTO,Teleost,Naucrates ductor,Naucrates ductor,Picture ID,Peixe piloto,Peixe piloto
ABROTEA-DE-FUNDO,ABROTEA-DE-FUNDO,Teleost,Physiculus sp.,Physiculus huloti,Picture ID,NA,NA
ALIXOTE-DE-FUNDO,PESCADA-DE-FUNDO,Teleost,Nealotus tripes,Nealotus tripes,Picture ID,NA,NA
LINGUADO-PRETO,LINGUADO-PRETO,Teleost,Psettodes belcheri,Psettodes belcheri,Picture ID,Linguado preto,Linguado preto
PEIXE-LENHA,PEIXE-LENHA,Teleost,Trachinus lineolatus,Trachinus lineolatus,Picture ID,Peixe lenha,Peixe lenha
LAGARTICA,LAGARTICA,Teleost,Trachinus radiatus,Trachinus radiatus,Picture ID,Lagartiça,Lagartiça
TAINHA-CONGO,TAINHA-CONGO,Teleost,Elops lacerta,Elops lacerta,Picture ID,Tainha Congo,Tainha Congo
PEIXE-LENHA2,PEIXE-LENHA2,Teleost,Synodus synodus,Synodus synodus,Picture ID,Peixe lenha,Peixe lenha
BARBUDO-FUNDO3,BARBUDO-FUNDO3,Teleost,Umbrina canariensis,Umbrina canariensis,Picture ID,Sem nome local,Sem nome local
SHARK1,SHARK1,Selachimorpha,Carcharhinus altimus,Carcharhinus altimus,Picture ID,NA,NA
SHARK2,SHARK2,Selachimorpha,Carcharhinus brachyurus,Carcharhinus brachyurus,Picture ID,NA,NA
SHARK3,SHARK3,Selachimorpha,Carcharhinus brevipinna,Carcharhinus brevipinna,Picture ID,NA,NA
SHARK4,SHARK4,Selachimorpha,Carcharhinus falciformis,Carcharhinus falciformis,Picture ID,NA,NA
SHARK5,SHARK5,Selachimorpha,Carcharhinus leucas,Carcharhinus leucas,Picture ID,NA,NA
SHARK6,SHARK6,Selachimorpha,Carcharhinus limbatus,Carcharhinus limbatus,Picture ID,NA,NA
SHARK7,SHARK7,Selachimorpha,Carcharhinus obscurus,Carcharhinus obscurus,Picture ID,NA,NA
SHARK8,SHARK8,Selachimorpha,Carcharhinus signatus,Carcharhinus signatus,Picture ID,NA,NA
SHARK9,SHARK9,Selachimorpha,Carcharhinus sp.,"Carcharhinus falciformis, Carcharhinus limbatus",Picture ID,NA,NA
SHARK10,SHARK10,Selachimorpha,Galeocerdo cuvier,Galeocerdo cuvier,Picture ID,NA,NA
SHARK11,SHARK11,Selachimorpha,Ginglymostoma cirratum,Ginglymostoma cirratum,Picture ID,NA,NA
